sample_index,reconstruction_error,error_above_threshold,severity_score,timestamp,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11
1044,0.29746026188640934,0.16744734622511387,1.287928552124322,2024-10-31 12:57:04.673,1.32,1.09,0.65,0,7904556,10090412,10283744,600500446,17532054,1673079,2024-10-31 12:48:04.587
1043,0.29715037209196066,0.1671374564306652,1.2855450212814634,2024-10-31 12:56:04.593,1.33,1.04,0.6,0,7905368,10090412,10283624,600494227,17531507,1672955,2024-10-31 12:47:04.610
1045,0.2957106995265138,0.16569778386521833,1.2744717170783837,2024-10-31 12:58:04.580,1.22,1.11,0.69,0,7903092,10090412,10283724,600507314,17532572,1673201,2024-10-31 12:49:04.633
1042,0.2947557791417139,0.16474286348041844,1.267126905373002,2024-10-31 12:55:03.727,1.4,0.97,0.56,0,7903488,10090684,10283664,600488016,17531025,1672827,2024-10-31 12:46:04.600
1046,0.2921575766595195,0.16214466099822405,1.247142717886867,2024-10-31 12:59:04.650,1.33,1.16,0.73,0,7903284,10090412,10283724,600513552,17533354,1673321,2024-10-31 12:50:04.620
1041,0.2903443190303595,0.16033140336906404,1.2331959679048587,2024-10-31 12:54:04.943,1.38,0.87,0.5,0,7906304,10090704,10285636,600481678,17530432,1672644,2024-10-31 12:45:04.610
1047,0.28831741448692033,0.15830449882562486,1.2176059433820676,2024-10-31 13:00:04.887,1.5,1.24,0.78,0,7904908,10090412,10285408,600519173,17533924,1673438,2024-10-31 12:51:04.573
1040,0.28360109061700944,0.15358817495571397,1.1813301330449033,2024-10-31 12:53:04.667,1.26,0.75,0.44,0,7900980,10090684,10283632,600475249,17529758,1672378,2024-10-31 12:44:04.887
1048,0.2822969423876484,0.15228402672635294,1.1712992201719197,2024-10-31 13:01:04.623,1.42,1.28,0.83,0,7904512,10090412,10285636,600525370,17534416,1673546,2024-10-31 12:52:04.597
1049,0.2743462574603933,0.14433334179909785,1.110146180977199,2024-10-31 13:02:04.620,0.84,1.15,0.81,0,7905052,10090412,10285616,600531647,17535022,1673668,2024-10-31 12:53:04.667
1039,0.2733687886160479,0.14335587295475244,1.1026279368137357,2024-10-31 12:52:04.597,1.29,0.64,0.38,0,7900748,10090724,10283628,600468728,17528857,1672063,2024-10-31 12:43:04.650
1050,0.26666768023111265,0.13665476456981718,1.0510860699857296,2024-10-31 13:03:04.587,0.38,0.97,0.77,0,7906100,10090412,10285620,600537988,17535659,1673792,2024-10-31 12:54:04.943
1038,0.26023872954119404,0.13022581387989857,1.0016375159154014,2024-10-31 12:51:04.573,0.94,0.45,0.31,0,7899772,10090360,10283552,600457090,17526593,1667560,2024-10-31 12:42:04.587
1051,0.2598759673734815,0.12986305171218604,0.9988473149121596,2024-10-31 13:04:04.600,0.36,0.87,0.75,0,7907344,10090596,10285620,600545620,17537738,1674758,2024-10-31 12:55:03.727
1052,0.2533838969754626,0.12337098131416713,0.9489132728595084,2024-10-31 13:05:04.597,0.2,0.74,0.71,0,7897804,10090580,10285424,600551485,17538612,1674879,2024-10-31 12:56:04.593
1037,0.24628059696265922,0.11626768130136375,0.8942779316191919,2024-10-31 12:50:04.620,0.61,0.29,0.25,0,7900120,10090360,10283528,600451698,17526043,1667445,2024-10-31 12:41:04.623
1053,0.24621527186412698,0.11620235620283151,0.8937754807803658,2024-10-31 13:06:04.610,0.2,0.65,0.68,0,7897912,10090560,10285380,600557740,17539186,1675002,2024-10-31 12:57:04.673
350,0.2422039366342402,0.11219102097294473,0.8629221212546325,2024-10-29 15:20:43.993,0.54,0.34,0.27,2,7905816,10088784,10301284,584312289,16603841,1544123,2024-10-29 15:11:44.013
1054,0.24018250928223886,0.11016959362094339,0.8473742247881962,2024-10-31 13:07:04.553,0.4,0.62,0.67,0,7898876,10090424,10286280,600563975,17539764,1675125,2024-10-31 12:58:04.580
349,0.23917904585338576,0.10916613019209029,0.8396560421465018,2024-10-29 15:19:44.020,0.17,0.24,0.23,0,7902488,10088764,10285008,584296714,16603211,1543998,2024-10-29 15:10:44.013
351,0.2372074059518021,0.10719449029050662,0.8244910880220969,2024-10-29 15:21:44.040,0.36,0.33,0.27,1,7919760,10088904,10284896,584318405,16604644,1544247,2024-10-29 15:12:44.020
348,0.2364925294783997,0.10647961381710422,0.8189925845098399,2024-10-29 15:18:44.047,0.23,0.26,0.24,0,7890380,10088764,10284940,584290596,16602603,1543881,2024-10-29 15:09:44.027
206,0.23598934484069908,0.10597642917940361,0.8151223179663876,2024-10-29 12:53:50.393,0.08,0.11,0.13,0,7881784,10088736,10282760,583378179,16507596,1502873,2024-10-29 12:44:50.420
195,0.23590846380806105,0.10589554814676558,0.8145002179832694,2024-10-29 12:42:50.350,0.04,0.14,0.18,0,7881804,10088728,10278672,583311008,16503687,1501508,2024-10-29 12:33:50.393
197,0.23588580470681872,0.10587288904552325,0.8143259345197605,2024-10-29 12:44:50.420,0.12,0.15,0.17,0,7880948,10092864,10278712,583323227,16504524,1501755,2024-10-29 12:35:50.340
194,0.2355457739281627,0.10553285826686723,0.811710572984897,2024-10-29 12:41:50.380,0.11,0.17,0.19,0,7881100,10088728,10278592,583304911,16503214,1501387,2024-10-29 12:32:50.360
198,0.23541759992433284,0.10540468426303737,0.8107247170552925,2024-10-29 12:45:50.387,0.04,0.12,0.16,0,7881908,10092828,10278404,583329309,16504900,1501877,2024-10-29 12:36:50.360
196,0.2350316118619925,0.10501869620069704,0.8077558730725461,2024-10-29 12:43:50.377,0.08,0.14,0.18,0,7880152,10088728,10278708,583317111,16504130,1501633,2024-10-29 12:34:50.360
207,0.234899587541831,0.10488667188053552,0.8067404022672805,2024-10-29 12:54:50.343,0.17,0.12,0.14,0,7883984,10088736,10282760,583384295,16507937,1502998,2024-10-29 12:45:50.387
1055,0.23488844953758406,0.10487553387628859,0.8066547338228012,2024-10-31 13:08:04.627,0.36,0.57,0.65,0,7899412,10090424,10286240,600570187,17540244,1675249,2024-10-31 12:59:04.650
199,0.23464344132286805,0.10463052566157258,0.8047702424746161,2024-10-29 12:46:50.427,0.02,0.1,0.15,0,7880708,10088736,10278404,583335400,16505232,1502005,2024-10-29 12:37:50.367
347,0.23450901311811648,0.10449609745682101,0.80373628208639,2024-10-29 15:17:44.017,0.21,0.25,0.24,0,7889720,10088764,10284888,584284474,16601895,1543760,2024-10-29 15:08:43.117
200,0.23450657745682923,0.10449366179553377,0.8037175480915799,2024-10-29 12:47:50.350,0.01,0.08,0.14,0,7880188,10088736,10278784,583341518,16505648,1502131,2024-10-29 12:38:50.377
1036,0.2344958147331787,0.10448289907188324,0.803634766134143,2024-10-31 12:49:04.633,0.08,0.18,0.22,0,7899948,10090360,10285716,600445514,17525591,1667320,2024-10-31 12:40:03.680
