fw_load_avg_1_min;fw_load_avg_5_min;fw_load_avg_15_min;fw_cpu_used;mem_used;root_used;log_used;fw_total_alloc;total_rx_packets;total_tx_packets;created_at
0,13;0,19;0,15;0;7913224;10093172;10310910;647208846;19073341;1822003;2024-11-07 16:04:45.466
0,21;0,24;0,23;0;7919186;10093214;10311267;647138058;19072569;1821981;2024-11-07 16:08:49.870
0,1;0,13;0,24;0;7917307;10093276;10311693;646572269;19076410;1822017;2024-11-07 16:10:39.899
0,24;0,09;0,17;0;7915722;10093126;10312098;647192633;19076644;1821959;2024-11-07 16:11:54.527
0,13;0,04;0,14;0;7917869;10093288;10312910;646869411;19075383;1821974;2024-11-07 16:13:58.390
0,18;0,12;0,25;0;7921641;10093192;10312204;647188455;19077203;1822128;2024-11-07 16:16:14.674
0,13;0,18;0,19;2;7923511;10093230;10312229;647270938;19075543;1821964;2024-11-07 16:18:15.395
0,24;0,26;0,28;2;7918193;10093202;10312065;646830096;19074511;1822121;2024-11-07 16:18:56.372
0,26;0,17;0,24;0;7914279;10093147;10310999;647024924;19074275;1822008;2024-11-07 16:20:35.856
0,27;0,22;0,11;2;7918506;10093206;10310820;647144454;19077065;1822140;2024-11-07 16:22:56.937
0,16;0,39;0,26;0;7917440;10093175;10311974;646774735;19075467;1822115;2024-11-07 16:25:59.229
0,33;0,19;0,29;1;7917423;10093208;10312061;647154438;19075654;1821960;2024-11-07 16:27:59.919
0,07;0,12;0,2;2;7919556;10093187;10312007;647199872;19074379;1822037;2024-11-07 16:30:17.226
0,1;0,33;0,24;0;7917732;10093173;10314083;647331571;19115698;1823090;2024-11-08 09:58:05.575
0,24;0,19;0,22;0;7918217;10093282;10314399;647567976;19116916;1823149;2024-11-08 09:59:13.310
0,33;0,26;0,22;1;7921869;10093158;10313599;647796704;19114748;1823054;2024-11-08 10:01:29.578
0,31;0,16;0,2;1;7921796;10093230;10313865;647528253;19113048;1823136;2024-11-08 10:04:41.029
0,13;0,28;0,28;2;7918943;10093232;10312875;647649559;19113442;1823202;2024-11-08 10:06:31.660
0,37;0,12;0,28;0;7920976;10093191;10313372;647243222;19116988;1823131;2024-11-08 10:07:40.373
0,34;0,25;0,2;2;7921722;10093213;10313738;647305045;19117688;1823072;2024-11-08 10:10:27.144
0,34;0,22;0,17;2;7918152;10093149;10314781;647360624;19114383;1823174;2024-11-08 10:11:30.021
0,28;0,1;0,22;0;7924542;10093277;10313599;647778271;19117369;1823062;2024-11-08 10:13:32.556
0,16;0,36;0,18;2;7924314;10093193;10314055;647422614;19115377;1823048;2024-11-08 10:16:18.225
0,13;0,13;0,3;0;7917393;10093158;10314914;647426546;19125949;1823477;2024-11-08 14:59:07.657
0,2;0,22;0,16;2;7923464;10093209;10314577;647592090;19125019;1823380;2024-11-08 15:01:33.245
0,32;0,23;0,28;2;7928706;10093137;10314443;647690120;19124960;1823313;2024-11-08 15:04:49.145
0,16;0,26;0,27;0;7926556;10093240;10315263;647774629;19126097;1823324;2024-11-08 15:07:00.831
0,37;0,21;0,26;1;7926432;10093210;10315052;647766725;19125204;1823503;2024-11-08 15:08:39.277
