fw_load_avg_1_min;fw_load_avg_5_min;fw_load_avg_15_min;fw_cpu_used;mem_used;root_used;log_used;fw_total_alloc;total_rx_packets;total_tx_packets;created_at
0,13;0,22;0,18;0;7909922;10093214;10308128;645970186;19001258;1820113;2024-11-06 08:01:10.657
0,20;0,29;0,11;1;7908706;10093269;10308047;645873105;19003739;1820008;2024-11-06 08:03:37.727
0,00;0,28;0,21;0;7910752;10093227;10308305;646125338;19002663;1820022;2024-11-06 08:05:21.266
0,08;0,10;0,22;0;7906569;10093285;10308644;646044252;19002419;1820188;2024-11-06 08:06:49.318
0,10;0,01;0,18;0;7908655;10093147;10308169;645914832;19004798;1820171;2024-11-06 08:09:04.071
0,11;0,21;0,21;0;7916148;10093273;10308708;645724713;19000651;1820081;2024-11-06 08:12:08.459
0,19;0,26;0,14;0;7909924;10093208;10307960;646082800;19002356;1820173;2024-11-06 08:14:17.937
0,19;0,04;0,19;0;7909985;10093180;10308213;646388497;19000554;1820039;2024-11-06 08:14:58.435
0,34;0,24;0,26;0;7912398;10093266;10307960;646140911;19003691;1820104;2024-11-06 08:16:59.539
0,27;0,13;0,28;0;7910734;10093167;10308087;645921598;19001474;1820095;2024-11-06 08:20:33.938
0,22;0,13;0,25;0;7907671;10093275;10308522;646150134;19004171;1820079;2024-11-06 08:22:34.859
0,23;0,21;0,16;2;7912809;10093284;10308060;646224634;19004529;1820024;2024-11-06 08:24:16.832
0,07;0,21;0,17;0;7914371;10093163;10308136;646108035;19004837;1820132;2024-11-06 08:25:45.874
0,17;0,28;0,23;0;7912722;10093284;10308443;646090128;19003060;1820182;2024-11-06 08:27:42.837
0,27;0,22;0,22;0;7913692;10093256;10308642;646119557;19005897;1820084;2024-11-06 08:28:59.705
0,01;0,21;0,16;1;7906159;10093206;10307804;645842425;19005715;1820104;2024-11-06 08:32:04.126
0,00;0,01;0,18;0;7910830;10093096;10307665;646128874;19003052;1820222;2024-11-06 08:34:41.479
0,11;0,23;0,20;0;7911616;10093168;10308901;645616545;19003148;1820143;2024-11-06 08:35:34.634
0,06;0,32;0,18;0;7908808;10093252;10307487;646129365;19002290;1820201;2024-11-06 08:37:37.550
0,09;0,18;0,32;0;7907385;10093224;10308033;645864333;19005307;1820099;2024-11-06 08:40:28.805
0,22;0,28;0,17;0;7919556;10093200;10308805;645934411;19002820;1820069;2024-11-06 08:41:34.356
0,18;0,31;0,29;1;7912251;10093254;10307247;646167537;19005635;1820118;2024-11-06 08:43:37.339
0,39;0,27;0,23;1;7907261;10093087;10308212;646034131;19005366;1820231;2024-11-06 08:45:56.890
0,18;0,18;0,25;0;7910681;10093221;10308605;646105221;19001914;1820108;2024-11-06 08:48:55.870
0,18;0,22;0,19;2;7912562;10093276;10308282;646369104;19004079;1820179;2024-11-06 08:49:00.330
0,18;0,07;0,25;1;7910435;10093118;10307650;646117563;19004723;1820193;2024-11-06 08:50:55.229
0,24;0,22;0,24;0;7914595;10093220;10308407;645660461;19005990;1820149;2024-11-06 08:52:57.626
0,23;0,03;0,24;0;7910099;10093157;10307877;646073652;19005935;1820064;2024-11-06 08:56:06.014
0,21;0,21;0,21;0;7908871;10093162;10307705;645917371;19004164;1820088;2024-11-06 08:58:23.588
0,16;0,13;0,10;1;7910414;10093209;10307530;646087313;19004029;1820112;2024-11-06 09:00:00.388
0,27;0,10;0,20;2;7903370;10093283;10308984;645624756;19006533;1820197;2024-11-06 09:02:46.808
0,38;0,14;0,15;0;7905384;10093234;10307748;646137147;19002538;1820126;2024-11-06 09:02:54.557
0,14;0,29;0,16;0;7912738;10093186;10308471;645709363;19006057;1820112;2024-11-06 09:06:25.074
0,07;0,17;0,20;0;7910541;10093157;10307651;645688295;19007346;1820216;2024-11-06 09:08:02.148
0,12;0,19;0,14;2;7910110;10093234;10307789;646031941;19005586;1820251;2024-11-06 09:08:56.591
0,15;0,20;0,16;0;7909346;10093241;10308299;646095989;19004172;1820266;2024-11-06 09:11:14.848
0,17;0,11;0,24;0;7911355;10093207;10309078;646042525;19005427;1820263;2024-11-06 09:14:12.078
0,00;0,15;0,19;0;7906666;10093210;10309090;645890961;19005541;1820271;2024-11-06 09:16:02.539
0,19;0,18;0,25;0;7908894;10093137;10308241;646447917;19005811;1820121;2024-11-06 09:16:42.661
0,32;0,13;0,25;0;7909900;10093117;10308487;645917740;19004201;1820260;2024-11-06 09:19:19.933
0,05;0,20;0,14;0;7909866;10093196;10308412;645959465;19007776;1820133;2024-11-06 09:21:05.093
0,21;0,17;0,18;0;7910741;10093204;10308271;646009541;19005892;1820135;2024-11-06 09:22:38.036
0,21;0,17;0,20;2;7904828;10093267;10307749;645904583;19003153;1820125;2024-11-06 09:24:49.791
0,03;0,21;0,20;1;7902570;10093238;10308000;645644424;19003633;1820279;2024-11-06 09:27:35.457
0,13;0,10;0,32;0;7914779;10093195;10307818;645952124;19007716;1820142;2024-11-06 09:29:27.775
0,12;0,29;0,17;0;7906493;10093217;10308134;646116443;19005740;1820127;2024-11-06 09:30:53.140
0,07;0,07;0,18;0;7916994;10093115;10307839;645937817;19005833;1820118;2024-11-06 09:33:47.541
0,30;0,21;0,13;1;7913733;10093161;10309089;646253948;19004156;1820227;2024-11-06 09:35:39.819
0,19;0,08;0,14;2;7910372;10093112;10307490;646148245;19008327;1820227;2024-11-06 09:37:03.149
0,07;0,16;0,19;1;7909039;10093182;10308164;645696986;19004612;1820173;2024-11-06 09:39:03.986
0,18;0,14;0,31;0;7909723;10093238;10308017;645994061;19006415;1820221;2024-11-06 09:41:53.023
0,02;0,31;0,15;0;7915686;10093201;10308164;645946323;19006594;1820210;2024-11-06 09:43:14.465
0,04;0,10;0,17;0;7906795;10093182;10308865;646245255;19005261;1820166;2024-11-06 09:44:32.246
0,00;0,11;0,23;1;7907482;10093265;10308347;646106701;19006636;1820270;2024-11-06 09:48:26.871
0,29;0,22;0,24;0;7911602;10093217;10308166;646375204;19004432;1820264;2024-11-06 09:49:30.584
0,30;0,15;0,23;0;7908719;10093254;10308427;645762397;19007432;1820203;2024-11-06 09:51:12.008
0,29;0,02;0,22;0;7914955;10093181;10308215;646162274;19008261;1820297;2024-11-06 09:53:36.281
0,17;0,21;0,27;0;7911104;10093055;10308213;645808255;19005198;1820203;2024-11-06 09:55:16.116
0,14;0,29;0,22;0;7914297;10093161;10307964;645881919;19005322;1820288;2024-11-06 09:57:43.062
0,21;0,17;0,16;0;7909632;10093288;10308652;645979085;19005098;1820221;2024-11-06 09:58:37.649
0,00;0,04;0,17;2;7914799;10093201;10308178;645905671;19004568;1820286;2024-11-06 10:01:20.503
0,00;0,12;0,28;0;7907801;10093166;10308410;645817784;19006982;1820124;2024-11-06 10:04:38.389
0,39;0,17;0,10;0;7909816;10093188;10308454;646188792;19009004;1820295;2024-11-06 10:05:06.963
0,20;0,14;0,28;0;7914821;10093147;10307617;646099385;19007263;1820293;2024-11-06 10:08:27.209
0,20;0,26;0,12;0;7909134;10093128;10308234;645891538;19006963;1820277;2024-11-06 10:10:20.709
0,25;0,16;0,19;0;7909569;10093266;10308097;645958072;19006104;1820296;2024-11-06 10:11:28.861
0,24;0,13;0,21;0;7909582;10093174;10307982;646000507;19008550;1820186;2024-11-06 10:12:44.554
0,16;0,04;0,19;0;7913409;10093096;10309276;646063413;19009203;1820216;2024-11-06 10:16:50.809
0,15;0,30;0,24;0;7913894;10093208;10308034;646024168;19007453;1820141;2024-11-06 10:17:25.857
0,03;0,25;0,18;0;7908647;10093205;10308022;646058184;19007541;1820245;2024-11-06 10:20:36.675
0,05;0,21;0,21;1;7904569;10093217;10308796;646441835;19009792;1820166;2024-11-06 10:22:06.914
0,28;0,18;0,19;0;7910647;10093146;10307636;646097080;19009613;1820245;2024-11-06 10:23:33.350
0,06;0,11;0,12;1;7915205;10093163;10307900;645909955;19009104;1820218;2024-11-06 10:25:51.149
0,21;0,20;0,19;0;7912002;10093246;10307563;646078791;19005792;1820261;2024-11-06 10:28:00.867
0,06;0,32;0,13;2;7911592;10093136;10307913;645798977;19008722;1820310;2024-11-06 10:29:47.648
0,24;0,24;0,25;2;7910136;10093154;10308775;646049288;19008220;1820269;2024-11-06 10:30:36.204
