fw_load_avg_1_min;fw_load_avg_5_min;fw_load_avg_15_min;fw_cpu_used;mem_used;root_used;log_used;fw_total_alloc;total_rx_packets;total_tx_packets;created_at;cycle_phase;cycle_factor
0,09;0,23;0,26;0;7771874;10078479;10148544;506828850;10742677;1270805;2024-11-06 08:01:18.100;0.000;0.000
0,27;0,16;0,27;0;7751567;10076842;10147082;506575458;10661045;1265994;2024-11-06 08:03:35.779;0.000;0.001
0,14;0,20;0,23;0;7770417;10078353;10150593;509681641;10659458;1272446;2024-11-06 08:04:38.687;0.000;0.002
0,18;0,29;0,20;0;7772731;10076007;10144423;506904157;10664416;1272181;2024-11-06 08:08:12.809;0.001;0.004
0,17;0,11;0,24;1;7774161;10078928;10157389;507972536;10764712;1271224;2024-11-06 08:10:30.397;0.001;0.005
0,18;0,20;0,26;0;7770041;10078354;10143212;510811663;10721187;1269408;2024-11-06 08:11:30.758;0.001;0.006
0,22;0,25;0,25;3;7783713;10077464;10148355;503187962;10723442;1268500;2024-11-06 08:14:18.353;0.001;0.007
0,15;0,17;0,24;2;7749293;10078555;10154742;515048993;10739054;1272693;2024-11-06 08:15:17.183;0.001;0.009
0,21;0,14;0,20;0;7756000;10076953;10147956;505791112;10761138;1278472;2024-11-06 08:18:03.056;0.002;0.010
0,19;0,15;0,23;0;7754682;10077923;10150189;510408595;10704712;1278113;2024-11-06 08:18:55.204;0.002;0.011
0,20;0,16;0,22;0;7782897;10075916;10151774;506642463;10769946;1274780;2024-11-06 08:21:44.152;0.002;0.012
0,24;0,17;0,26;1;7759975;10078899;10154227;514188477;10781007;1278675;2024-11-06 08:24:44.269;0.002;0.014
0,16;0,21;0,17;3;7766849;10077446;10151588;516597917;10773437;1278829;2024-11-06 08:26:38.701;0.002;0.015
0,20;0,23;0,21;1;7760122;10078229;10149375;516536427;10787913;1273688;2024-11-06 08:26:51.760;0.003;0.016
0,21;0,18;0,26;1;7776479;10077692;10149837;513251791;10763168;1282476;2024-11-06 08:28:58.480;0.003;0.017
0,20;0,22;0,24;0;7777850;10078472;10155630;516140709;10806831;1283573;2024-11-06 08:32:20.828;0.003;0.019
